"city","month","adults","children","num_rooms","postal_code","latitude","longitude","hotel_score","staff_score","facilities_score","cleanliness_score","comfort_score","value_for_money_score","location_score","free_wifi_score","balcony","swimming_pool","pet_friendly","kitchen","city_view","aparments","non_smoking_rooms","private_bathroom","elevator","heating","safe","air_conditioning","free_wifi","page_count","current_page","in_page_count","is_december","is_march","length_description","min_price","max_price","is_suite","is_apartment","has_free_cancelation","mean_flights"
"Barcelona","December",2,3,2," 08005 ",41.40145712,2.19775379,8.1,9,8,8.4,8.2,8.1,8.3,7.6,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,151,325,562,0,0,1,2486434.5
"Barcelona","December",2,3,2," 08015 ",41.37673208,2.15001449,8.6,9,8.7,9.2,9.1,8.3,8.9,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,211,481,899,0,0,1,2486434.5
"Barcelona","December",2,3,2," 08015 ",41.37705814,2.14974493,7.7,8.7,7.5,8.1,7.9,7.5,9,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,140,234,328,0,0,1,2486434.5
"Barcelona","December",2,3,2," 08007 ",41.39020152,2.16497585,8.6,8.3,8.6,8.8,8.9,8.5,9.7,9.1,0,0,0,1,0,0,1,1,0,1,1,1,1,3,1,3,1,0,159,556,704,0,1,1,2486434.5
"Barcelona","December",2,3,2," 08002 ",41.38493925,2.17013776,8.1,8.9,7.8,8.4,8.2,8.3,9.7,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,1,0,128,289,376,0,0,1,2486434.5
"Barcelona","December",2,3,2," 08015 ",41.38097869,2.15318486,8.2,8.6,8.2,8.4,8.4,8.2,8.8,7.8,1,0,0,1,1,0,1,0,0,0,1,1,1,5,1,5,1,0,125,348,676,0,1,1,2486434.5
"Barcelona","December",2,3,2," 08006 ",41.39511949,2.15063989,8.1,8.3,8.1,8.3,8.3,8.3,8.8,8.3,1,0,0,1,1,0,1,1,0,0,1,1,1,6,1,6,1,0,148,649,797,0,1,1,2486434.5
"Barcelona","December",2,3,2," 08011 ",41.38460821,2.15694867,7.9,8,8,8.3,8.4,7.9,8.4,5.9,0,0,0,1,0,0,1,1,0,0,1,1,1,7,1,7,1,0,201,423,974,0,1,1,2486434.5
"Barcelona","December",2,3,2," 08005 ",41.39976508,2.20088661,7.4,8.3,7.2,8,7.7,7.6,8.3,7.6,0,0,1,0,0,0,1,1,1,1,0,1,0,8,1,8,1,0,226,228,482,0,0,1,2486434.5
"Barcelona","December",2,3,2," 08011 ",41.38401555,2.16302119,8.6,9,8.7,9,8.9,8.5,9.3,8.9,0,0,0,0,0,0,1,0,1,1,0,1,1,9,1,9,1,0,114,349,640,0,0,1,2486434.5
"Barcelona","December",2,3,2," 08004 ",41.37221951,2.16290152,8.3,8.8,8.4,8.8,8.7,8.2,8.6,5.6,0,0,0,0,0,0,0,1,1,1,1,1,1,10,1,10,1,0,152,435,648,0,1,1,2486434.5
"Barcelona","December",2,3,2," 08025 ",41.404906,2.1738667,7.4,7.9,7.4,7.7,7.8,7.1,9.3,7.5,0,0,0,0,0,0,0,1,1,1,0,0,1,11,1,11,1,0,85,413,508,0,1,1,2486434.5
"Barcelona","December",2,3,2," 08003 ",41.39803879,2.19605327,7.7,8.5,7.9,8.1,8,7.6,8,7.8,0,1,0,1,0,0,1,1,0,0,0,1,1,12,1,12,1,0,116,327,687,0,1,1,2486434.5
"Barcelona","December",2,3,2," 08002 ",41.38248405,2.17218563,8.1,8.5,8.1,8.4,8.3,7.7,9.5,9.4,0,0,0,1,0,0,1,1,1,1,1,1,1,13,1,13,1,0,134,496,627,0,1,1,2486434.5
"Barcelona","December",2,3,2," 08007 ",41.39363421,2.16473661,8.2,8.7,8,8.5,8.5,7.8,9.5,8.8,0,1,0,1,1,0,1,1,0,0,0,1,1,14,1,14,1,0,129,537,836,0,1,1,2486434.5
"Barcelona","December",2,3,2," 08011 ",41.38679971,2.15931639,7.6,8.5,7.6,7.8,7.8,7.3,8.8,7.2,0,1,0,1,0,0,1,1,0,0,1,1,1,15,1,15,1,0,180,376,584,0,1,1,2486434.5
"Barcelona","December",2,3,2," 08025 ",41.40311089,2.17124015,8.8,9.2,8.7,8.8,8.9,8.6,9.4,8.7,1,0,0,1,0,0,0,0,0,0,0,1,1,16,1,16,1,0,136,556,857,1,0,1,2486434.5
"Barcelona","December",2,3,2," 08026 ",41.4109989,2.18664408,8.1,9,8.1,8.6,8.5,8,8.3,8.1,0,1,1,0,0,0,1,1,0,0,1,1,1,17,1,17,1,0,182,350,754,0,0,1,2486434.5
"Barcelona","December",2,3,2," 08025 ",41.40816096,2.1793364,8.3,8.4,8.3,8.5,8.6,8.5,8.9,8.9,0,0,0,1,1,0,1,1,1,1,0,1,1,18,1,18,1,0,147,310,712,0,1,1,2486434.5
